Age,Gender,Income,Household_Size,Overall_Satisfaction,Average_Spend,Education_Level,Employment_Status,Marital_Status,Location,Shopping_Frequency,Product_Preferences,Shopping_Time,Brand_Loyalty,Shopping_Channels,Payment_Methods,Product_Quality_Importance,Price_Sensitivity,Promotions_Discounts_Interest,Store_Experience,Customer_Service_Expectations,Delivery_Pickup_Preferences,Product_Satisfaction,Service_Satisfaction,Store_Layout_Satisfaction,Ease_of_Shopping,Communication_Preferences,Social_Media_Engagement,Membership_Program_Interest,Shopping_Triggers,Brand_Perception,Competitor_Awareness,Online_Shopping_Habits,App_Usage,Tech_Savviness,Estimated_Savings
48,Male,9554.46,3,2,596.66,High School,Retired,Divorced,Suburban,Rarely,Home Goods,Weekends,Low,Both,Credit Card,5,2,5,4,4,In-store Pickup,3,4,4,2,Email,1,5,Advertisements,Quality,3,1,2,3,
32,Female,5854.62,2,5,568.42,High School,Full-time,Married,Urban,Monthly,Clothing,Afternoon,Low,Online,Mobile Payment,5,2,4,4,4,In-store Pickup,5,4,5,1,SMS,4,3,Advertisements,Quality,5,5,5,5,
64,Female,$803.73,1,3,$167.91,Postgraduate,Student,Divorced,Rural,Weekly,Electronics,Weekends,Low,In-store,Credit Card,3,2,5,4,5,In-store Pickup,5,3,4,3,SMS,4,5,Word of Mouth,Exclusivity,1,5,2,5,$635.82
31,Male,9967.86,1,1,597.31,Undergraduate,Unemployed,Divorced,Suburban,Rarely,Groceries,Evening,High,Both,Cash,4,3,3,3,4,Home Delivery,4,1,1,3,SMS,1,2,Word of Mouth,Exclusivity,2,4,3,2,
20,Female,2730.79,6,3,474.31,High School,Self-employed,Married,Rural,Daily,Electronics,Weekends,Low,Both,Cash,5,5,2,1,3,Home Delivery,2,2,2,5,Social Media,4,5,Word of Mouth,Exclusivity,5,5,4,4,
48,Female,$970.62,1,2,$94.67,Postgraduate,Self-employed,Single,Rural,Rarely,Groceries,Afternoon,Moderate,Both,Mobile Payment,2,1,2,4,4,Home Delivery,5,2,1,1,SMS,5,2,Necessity,Value for Money,3,1,1,5,$875.95
25,Female,"$1,259.74",2,4,$316.53,Postgraduate,Part-time,Divorced,Rural,Rarely,Electronics,Weekends,Low,In-store,Cash,5,5,3,1,3,Home Delivery,4,5,3,2,Social Media,3,2,Necessity,Exclusivity,4,5,4,1,$943.21
60,Female,5126.81,4,4,617.06,Postgraduate,Retired,Married,Rural,Daily,Clothing,Evening,High,Both,Credit Card,1,3,3,5,5,In-store Pickup,5,4,2,5,SMS,3,2,Advertisements,Exclusivity,1,1,4,1,
65,Female,"$1,418.02",3,1,$184.05,Undergraduate,Part-time,Divorced,Rural,Monthly,Home Goods,Afternoon,High,Both,Cash,2,2,4,4,1,Curbside Pickup,5,4,1,4,Social Media,3,4,Necessity,Value for Money,3,2,3,5,"$1,233.97"
69,Male,2031.07,3,5,420.49,Undergraduate,Part-time,Divorced,Rural,Daily,Groceries,Afternoon,Moderate,In-store,Mobile Payment,4,4,3,1,3,Home Delivery,5,2,4,5,Social Media,5,1,Word of Mouth,Value for Money,3,5,4,3,
31,Male,3188.43,4,3,386.96,Postgraduate,Student,Widowed,Urban,Monthly,Groceries,Morning,High,Online,Cash,2,3,3,5,1,In-store Pickup,1,3,5,4,SMS,5,4,Advertisements,Exclusivity,4,3,5,1,
54,Female,"$1,444.74",1,2,$184.05,Postgraduate,Part-time,Divorced,Suburban,Monthly,Groceries,Evening,Low,Both,Cash,2,4,2,3,4,Home Delivery,3,4,4,2,Social Media,3,2,Necessity,Quality,3,5,4,5,"$1,260.69"
43,Male,7451.22,1,2,496.61,Postgraduate,Part-time,Divorced,Rural,Rarely,Groceries,Afternoon,Low,Both,Cash,5,4,5,5,4,In-store Pickup,3,3,1,4,Email,4,2,Necessity,Exclusivity,1,1,4,3,
44,Female,2072.45,5,2,252.09,High School,Student,Widowed,Urban,Daily,Clothing,Morning,High,Online,Cash,5,1,4,1,3,Curbside Pickup,3,5,2,4,SMS,3,5,Necessity,Value for Money,5,1,4,3,
22,Male,8731.44,3,4,754.23,Postgraduate,Student,Widowed,Suburban,Monthly,Groceries,Morning,High,Both,Mobile Payment,3,3,2,2,3,Home Delivery,2,3,1,4,Social Media,1,3,Necessity,Exclusivity,1,5,3,1,
68,Male,7231.45,4,2,573.89,High School,Unemployed,Married,Suburban,Rarely,Electronics,Evening,High,In-store,Credit Card,2,5,2,5,1,In-store Pickup,2,3,4,4,Email,1,4,Necessity,Exclusivity,2,1,5,2,
44,Male,7723.8,2,1,480.13,Postgraduate,Unemployed,Widowed,Rural,Rarely,Groceries,Afternoon,High,In-store,Cash,2,3,3,1,5,In-store Pickup,2,1,5,5,Social Media,4,5,Advertisements,Exclusivity,1,2,3,4,
67,Female,"$1,527.70",6,3,$300.79,High School,Self-employed,Divorced,Suburban,Weekly,Electronics,Evening,High,Both,Credit Card,1,5,4,4,2,In-store Pickup,1,2,2,1,Email,1,2,Necessity,Quality,4,1,5,5,"$1,226.91"
26,Female,3901.54,6,1,303.97,High School,Unemployed,Widowed,Urban,Monthly,Home Goods,Weekends,Moderate,Online,Mobile Payment,1,3,2,1,2,In-store Pickup,3,3,4,2,Social Media,3,1,Advertisements,Quality,2,1,1,1,
30,Female,"$1,713.20",3,2,$269.44,Postgraduate,Part-time,Single,Suburban,Monthly,Home Goods,Afternoon,High,Both,Cash,4,5,4,4,1,Curbside Pickup,4,2,2,5,Social Media,4,1,Necessity,Quality,5,4,2,3,"$1,443.76"
52,Male,5476.31,2,2,424.42,Undergraduate,Retired,Divorced,Rural,Rarely,Home Goods,Afternoon,Low,In-store,Credit Card,2,4,2,4,3,Curbside Pickup,1,3,1,5,Email,4,4,Word of Mouth,Quality,5,2,1,1,
25,Female,3823.12,3,5,526.32,High School,Part-time,Married,Rural,Weekly,Clothing,Afternoon,High,In-store,Mobile Payment,3,1,2,4,2,Home Delivery,4,5,1,1,Email,4,1,Advertisements,Exclusivity,5,4,5,4,
45,Female,"$1,897.30",6,4,$462.14,High School,Full-time,Divorced,Rural,Monthly,Electronics,Afternoon,High,Both,Mobile Payment,5,4,5,5,5,In-store Pickup,4,2,4,3,Email,4,5,Word of Mouth,Quality,4,3,3,4,"$1,435.16"
24,Male,1052.82,1,2,133.53,High School,Full-time,Single,Suburban,Daily,Clothing,Weekends,Low,Both,Cash,5,2,1,2,4,Home Delivery,2,2,2,3,SMS,3,5,Advertisements,Exclusivity,3,1,3,3,
59,Male,2747.89,5,3,360.08,Postgraduate,Self-employed,Widowed,Rural,Weekly,Home Goods,Weekends,Moderate,In-store,Credit Card,2,3,2,2,4,Curbside Pickup,3,4,4,2,SMS,4,3,Word of Mouth,Exclusivity,4,3,3,3,
26,Male,8955.74,6,2,719.6,High School,Part-time,Widowed,Urban,Weekly,Electronics,Evening,High,In-store,Cash,5,1,1,5,3,Home Delivery,3,5,4,4,SMS,1,5,Word of Mouth,Exclusivity,3,5,2,4,
36,Male,8212.36,4,3,695.16,High School,Part-time,Married,Urban,Rarely,Groceries,Evening,Low,Both,Cash,2,3,4,3,2,In-store Pickup,4,1,2,5,SMS,3,3,Word of Mouth,Quality,3,4,1,4,
53,Male,7601.41,4,3,687.81,Undergraduate,Retired,Married,Suburban,Weekly,Groceries,Evening,Moderate,Online,Mobile Payment,4,4,1,5,4,Home Delivery,3,2,1,1,Social Media,1,5,Word of Mouth,Quality,2,1,2,2,
53,Female,"$1,937.71",4,3,$376.53,Postgraduate,Part-time,Divorced,Suburban,Daily,Groceries,Weekends,High,Both,Cash,4,4,1,5,5,Curbside Pickup,3,3,5,3,Social Media,4,1,Advertisements,Exclusivity,2,4,5,2,"$1,561.18"
34,Male,1685.05,3,1,156.45,High School,Unemployed,Single,Urban,Monthly,Home Goods,Evening,Low,Online,Credit Card,5,3,1,5,5,In-store Pickup,2,2,2,3,Social Media,3,2,Necessity,Value for Money,2,1,2,1,
31,Female,"$1,971.66",5,1,$245.48,High School,Self-employed,Divorced,Suburban,Weekly,Electronics,Afternoon,Moderate,Both,Cash,3,1,5,5,1,Curbside Pickup,2,4,5,2,SMS,1,3,Advertisements,Quality,2,5,4,3,"$1,726.18"
22,Female,"$2,131.56",2,5,$447.19,High School,Part-time,Single,Suburban,Daily,Electronics,Weekends,High,In-store,Credit Card,4,1,3,1,3,Curbside Pickup,1,4,2,5,SMS,1,3,Advertisements,Quality,3,2,2,2,"$1,684.37"
70,Female,4908.16,6,5,607.46,Postgraduate,Retired,Widowed,Rural,Weekly,Groceries,Morning,High,Both,Credit Card,1,2,1,2,4,Home Delivery,1,3,1,5,Email,3,3,Necessity,Value for Money,3,5,5,2,
